"","Longitude","Latitude","OBJECTID","Group.NUM"
"1",756333.954448,785740.333168,1,"38"
"2",756289.684473,785778.875573,2,"60"
"3",756352.879164,785797.277686,3,"5"
"4",756352.879164,785797.277686,4,"5"
"5",756352.879164,785797.277686,5,"5"
"6",756388.816214,785806.305499,6,"55"
"7",756388.816214,785806.305499,7,"55"
"8",756357.220783,785857.520535,8,"34"
"9",756386.386975,785854.048004,9,"34"
"10",756292.841145,785876.294021,10,"52"
"11",756319.323495,785912.837903,11,"50"
"12",756354.96383,785927.486085,12,"56"
"13",756354.96383,785927.486085,13,"56"
"14",756354.96383,785927.486085,14,"56"
"15",756354.96383,785927.486085,15,"56"
"16",756390.031791,785960.297093,16,"30"
"17",756390.031791,785960.297093,17,"30"
"18",756355.484518,785975.923479,18,"37"
"19",756355.484518,785975.923479,19,"37"
"20",756318.793235,785987.135502,20,"1"
"21",756382.439699,786024.749475,21,"22"
"22",756382.439699,786024.749475,22,"22"
"23",756382.439699,786024.749475,23,"22"
"24",756382.439699,786024.749475,24,"22"
"25",756319.752297,786026.208167,25,"10"
"26",756289.684473,785785.125745,26,"60"
"27",756352.879164,785803.527858,27,"5"
"28",756352.879164,785803.527858,28,"5"
"29",756352.879164,785803.527858,29,"5"
"30",756352.879164,785803.527858,30,"5"
"31",756388.816214,785812.555671,31,"55"
"32",756388.816214,785812.555671,32,"55"
"33",756388.816214,785812.555671,33,"55"
"34",756299.089402,785876.182992,34,"52"
"35",756313.073323,785912.950847,35,"50"
"36",756313.073323,785912.950847,36,"50"
"37",756313.073323,785912.950847,37,"50"
"38",756313.073323,785912.950847,38,"50"
"39",756390.031791,785954.048835,39,"30"
"40",756355.484518,785982.17365,40,"37"
"41",756355.484518,785982.17365,41,"37"
"42",756355.484518,785982.17365,42,"37"
"43",756355.484518,785982.17365,43,"37"
"44",756355.484518,785982.17365,44,"37"
"45",756387.774838,786003.181118,45,"47"
"46",756387.774838,786003.181118,46,"47"
"47",756312.546892,785987.349903,47,"1"
"48",756376.193356,786024.963876,48,"22"
"49",756376.193356,786024.963876,49,"22"
"50",756376.193356,786024.963876,50,"22"
"51",756313.505954,786026.422568,51,"10"
"52",756313.505954,786026.422568,52,"10"
"53",756313.505954,786026.422568,53,"10"
"54",756313.505954,786026.422568,54,"10"
"55",756320.76113,785740.155138,55,"38"
"56",756388.816214,785819.498817,56,"27"
"57",756388.816214,785819.498817,57,"27"
"58",756357.220783,785870.715767,58,"43"
"59",756357.220783,785870.715767,59,"43"
"60",756357.220783,785870.715767,60,"43"
"61",756386.386975,785867.243236,61,"43"
"62",756306.825066,785913.06379,62,"50"
"63",756355.484518,785989.118711,63,"22"
"64",756355.484518,785989.118711,64,"22"
"65",756305.605661,785987.589189,65,"1"
"66",756305.605661,785987.589189,66,"1"
"67",756305.605661,785987.589189,67,"1"
"68",756369.254039,786025.201248,68,"22"
"69",756369.254039,786025.201248,69,"22"
"70",756306.566636,786026.65994,70,"10"
"71",756314.512873,785740.070909,71,"38"
"72",756289.684473,785798.319063,72,"28"
"73",756289.684473,785798.319063,73,"28"
"74",756289.684473,785798.319063,74,"28"
"75",756289.684473,785798.319063,75,"28"
"76",756352.879164,785816.721176,76,"26"
"77",756352.879164,785816.721176,77,"26"
"78",756386.386975,785873.491494,78,"43"
"79",756386.386975,785873.491494,79,"43"
"80",756312.28272,785875.943705,80,"52"
"81",756312.28272,785875.943705,81,"52"
"82",756312.28272,785875.943705,82,"52"
"83",756354.96383,785946.929574,83,"2"
"84",756354.96383,785946.929574,84,"2"
"85",756354.96383,785946.929574,85,"2"
"86",756354.96383,785946.929574,86,"2"
"87",756354.96383,785946.929574,87,"2"
"88",756390.031791,785940.853603,88,"9"
"89",756390.031791,785940.853603,89,"9"
"90",756355.484518,785995.366968,90,"22"
"91",756387.774838,785989.985886,91,"47"
"92",756387.774838,785989.985886,92,"47"
"93",756363.007696,786025.417563,93,"22"
"94",756363.007696,786025.417563,94,"22"
"95",756363.007696,786025.417563,95,"22"
"96",756300.320293,786026.874341,96,"10"
"97",758440.714043,786278.334154,97,"32"
"98",758440.714043,786278.334154,98,"32"
"99",758440.714043,786278.334154,99,"32"
